Time,Signal
3.085,0.877048942
3.09,0.876514376
3.095,0.875932263
3.1,0.875323367
3.105,0.874712895
3.11,0.874130498
3.115,0.873610274
3.12,0.873190763
3.125,0.872914951
3.13,0.872830268
3.135,0.872988588
3.14,0.873445732
3.145,0.87425257
3.15,0.875451721
3.155,0.877001049
3.16,0.879158741
3.165,0.88227314
3.17,0.886649455
3.175,0.892549758
3.18,0.900192986
3.185,0.909754942
3.19,0.921368293
3.195,0.935122571
3.2,0.951064172
3.205,0.96919636
3.21,0.989479259
3.215,1.01186475
3.22,1.036366074
3.225,1.061862081
3.23,1.087093263
3.235,1.110943502
3.24,1.132440104
3.245,1.150755924
3.25,1.165210832
3.255,1.175268437
3.26,1.180535741
3.265,1.180763137
3.27,1.175844411
3.275,1.165816742
3.28,1.150842577
3.285,1.131467759
3.29,1.108967193
3.295,1.084556239
3.3,1.059301299
3.305,1.034119815
3.31,1.009780269
3.315,0.986902189
3.32,0.965956139
3.325,0.9472637269999999
3.33,0.930997601
3.335,0.917181452
3.34,0.90569001
3.345,0.896249604
3.35,0.888567959
3.355,0.882963532
3.36,0.876368186
3.365,0.8657216560000001
3.37,0.849007704
3.375,0.825254118
3.38,0.794532717
3.385,0.757959343
3.39,0.717141333
3.395,0.6876680550000001
3.4,0.691847134
3.405,0.7452836030000001
3.41,0.856755042
3.415,1.028211579
3.42,1.254775893
3.425,1.524295343
3.43,1.79428382
3.435,1.995776182
3.44,2.080005815
3.445,2.022031516
3.45,1.826834238
3.455,1.5514941580000001
3.46,1.258176686
3.465,0.99471926
3.47,0.7945445529999999
3.475,0.67060781
3.48,0.6161845619999999
3.485,0.618907586
3.49,0.661944866
3.495,0.7240002329999999
3.5,0.782562851
3.505,0.829361419
3.51,0.862786077
3.515,0.883494368
3.52,0.894421609
3.525,0.900674848
3.53,0.905642632
3.535,0.910058285
3.54,0.91461119
3.545,0.919801857
3.55,0.925942679
3.555,0.9331577719999999
3.56,0.941406222
3.565,0.950777881
3.57,0.961426456
3.575,0.973460004
3.58,0.98694953
3.585,1.001928985
3.59,1.018395269
3.595,1.036308225
3.6,1.055590649
3.605,1.076128278
3.61,1.0977698
3.615,1.120326848
3.62,1.143623464
3.625,1.167524144
3.63,1.191547588
3.635,1.215206731
3.64,1.238047641
3.645,1.259649556
3.65,1.279626614
3.655,1.297628772
3.66,1.313339342
3.665,1.3264747749999999
3.67,1.336784655
3.675,1.344051701
3.68,1.348091767
3.685,1.348753843
3.69,1.3459200550000001
3.695,1.3393391239999999
3.7,1.328814649
3.705,1.314861711
3.71,1.2979999420000001
3.715,1.2787214900000001
3.72,1.2574910240000001
3.725,1.234745729
3.73,1.21089531
3.735,1.18632199
3.74,1.1613805130000001
3.745,1.136398136
3.75,1.11167279
3.755,1.087469444
3.76,1.064024583
3.765,1.041547205
3.77,1.020218832
3.775,1.0001935
3.78,0.981597767
3.785,0.964530708
3.79,0.949063916
3.795,0.935241504
3.8,0.92308081
3.805,0.912557519
3.81,0.903541656
3.815,0.895888036
3.82,0.889458658
3.825,0.884122702
3.83,0.8797565350000001
3.835,0.876243708
3.84,0.873474955
3.845,0.871348196
3.85,0.869769477
3.855,0.8686578
3.86,0.867941523
3.865,0.8675561940000001
3.87,0.867444545
3.875,0.867556491
3.88,0.867849134
3.885,0.868286756
3.89,0.868840826
3.895,0.869489997
3.9,0.870220026
3.905,0.871024483
3.91,0.8719234810000001
3.915,0.872906949
3.92,0.873952669
3.925,0.875042723
3.93,0.876163497
3.935,0.877305681
3.94,0.878464268
3.945,0.879638554
3.95,0.880831777
3.955,0.882046478
3.96,0.883285858
3.965,0.884557334
3.97,0.885872628
3.975,0.887247765
3.98,0.888703074
3.985,0.890263187
3.99,0.891957037
3.995,0.893817864
4.0,0.895883207
4.005,0.898194913
4.01,0.900776715
4.015,0.903612271
4.02,0.9070378139999999
4.025,0.911409686
4.03,0.917038487
4.035,0.924189077
4.04,0.933080576
4.045,0.943886364
4.05,0.956734148
4.055,0.971708872
4.06,0.98885382
4.065,1.00816683
4.07,1.029600001
4.075,1.05321066
4.08,1.078574024
4.085,1.104286199
4.09,1.129067135
4.095,1.151801393
4.1,1.171538147
4.105,1.187491373
4.11,1.1990404319999999
4.115,1.205729488
4.12,1.207267318
4.125,1.20352731
4.13,1.194547463
4.135,1.180530255
4.14,1.16188254
4.145,1.139779021
4.15,1.115549216
4.155,1.090357031
4.16,1.065199923
4.165,1.040910021
4.17,1.018154344
4.175,0.997434806
4.18,0.979088208
4.185,0.963286244
4.19,0.950035502
4.195,0.939177457
4.2,0.930388477
4.205,0.923471293
4.21,0.917470012
4.215,0.909745743
4.22,0.897984452
4.225,0.880276964
4.23,0.8551189610000001
4.235,0.821401654
4.24,0.7811255699999999
4.245,0.748293118
4.25,0.738893993
4.255,0.767790498
4.26,0.84871558
4.265,0.994289561
4.27,1.209183363
4.275,1.470464494
4.28,1.739398292
4.285,1.9650441
4.29,2.084455622
4.295,2.05249773
4.3,1.8856222649999999
4.305,1.6239610070000001
4.31,1.325313572
4.315,1.056076975
4.32,0.848607817
4.325,0.716317694
4.33,0.65863565
4.335,0.6621895019999999
4.34,0.7064130049999999
4.345,0.766946538
4.35,0.8259535259999999
4.355,0.8728330870000001
4.36,0.90422402
4.365,0.923458948
4.37,0.934923397
4.375,0.941618957
4.38,0.945953766
4.385,0.949739328
4.39,0.954190517
4.395,0.95992558
4.4,0.966966128
4.405,0.974814603
4.41,0.983660742
4.415,0.993788219
4.42,1.005312305
4.425,1.018317349
4.43,1.032856782
4.435,1.048953115
4.44,1.066597943
4.445,1.085751939
4.45,1.106344859
4.455,1.128356632
4.46,1.151767229
4.465,1.176160745
4.47,1.201110211
4.475,1.226201696
4.48,1.251034303
4.485,1.275220175
4.49,1.298384491
4.495,1.320165465
4.5,1.340214351
4.505,1.358195438
4.51,1.373786053
4.515,1.386676567
4.52,1.396570428
4.525,1.403184131
4.53,1.406247204
4.535,1.405348308
4.54,1.400096119
4.545,1.3909614000000001
4.55,1.3784456170000001
4.555,1.363026299
4.56,1.345159551
4.565,1.325283553
4.57,1.303813407
4.575,1.2811402680000001
4.58,1.25763134
4.585,1.233629877
4.59,1.209455184
4.595,1.185402614
4.6,1.161743572
4.605,1.138725513
4.61,1.11657194
4.615,1.095482409
4.62,1.075632523
4.625,1.057173937
4.63,1.040234357
4.635,1.024917536
4.64,1.01130328
4.645,0.999438458
4.65,0.989240215
4.655,0.980560438
4.66,0.973257967
4.665,0.967196045
4.67,0.96224454
4.675,0.958280907
4.68,0.955190196
4.685,0.952865045
4.69,0.9512056799999999
4.695,0.950119921
4.7,0.949523176
4.705,0.949338444
4.71,0.949496313
4.715,0.949934962
4.72,0.950600097
4.725,0.951444755
4.73,0.952429501
4.735,0.953522489
4.74,0.9546994639999999
4.745,0.95594376
4.75,0.957246303
4.755,0.958608584
4.76,0.960023069
4.765,0.961467682
4.77,0.962923852
4.775,0.964376827
4.78,0.965815673
4.785,0.9672332770000001
4.79,0.968626347
4.795,0.969995409
4.8,0.971344809
4.805,0.972682714
4.81,0.97402111
4.815,0.975375803
4.82,0.976766419
4.825,0.978216402
4.83,0.979753019
4.835,0.981407355
4.84,0.983214314
4.845,0.985192413
4.85,0.987392968
4.855,0.990070972
4.86,0.993487428
4.865,0.997892913
4.87,1.00352772
4.875,1.010620605
4.88,1.019388711
4.885,1.030037575
4.89,1.04276112
4.895,1.057741662
4.9,1.075149906
4.905,1.095234129
4.91,1.117906021
4.915,1.142192339
4.92,1.16711216
4.925,1.191727206
4.93,1.215142473
4.935,1.236505605
4.94,1.2550066819999999
4.945,1.269878217
4.95,1.280395161
4.955,1.2858749010000001
4.96,1.285677252
4.965,1.279173871
4.97,1.266706726
4.975,1.24961387
4.98,1.229146194
4.985,1.20643645
4.99,1.182499242
4.995,1.158231036
5.0,1.13441015
5.005,1.111696762
5.01,1.090632905
5.015,1.07164247
5.02,1.055031203
5.025,1.040986708
5.03,1.02955503
5.035,1.020336038
5.04,1.012933731
5.045,1.006476058
5.05,0.999437018
5.055,0.989636658
5.06,0.974241073
5.065,0.94989381
5.07,0.916047828
5.075,0.877881947
5.08,0.8452262580000001
5.085,0.832504055
5.09,0.857803328
5.095,0.937233999
5.1,1.086199273
5.105,1.303250536
5.11,1.567665222
5.115,1.839869427
5.12,2.059122753
5.125,2.159593194
5.13,2.11198055
5.135,1.927640931
5.14,1.656563626
5.145,1.36092006
5.15,1.092881971
5.155,0.886212439
5.16,0.755208074
5.165,0.6977925460000001
5.17,0.7021194479999999
5.175,0.743363727
5.18,0.800837164
5.185,0.8591379690000001
5.19,0.908150781
5.195,0.9430466710000001
5.2,0.964745789
5.205,0.978019941
5.21,0.985962028
5.215,0.991027464
5.22,0.995120453
5.225,0.999593984
5.23,1.005249838
5.235,1.012338583
5.24,1.020559575
5.245,1.029439146
5.25,1.039454228
5.255,1.050760705
5.26,1.063448777
5.265,1.077579099
5.27,1.093182716
5.275,1.110261065
5.28,1.128786034
5.285,1.148699969
5.29,1.169920586
5.295,1.192516749
5.3,1.216246065
5.305,1.2407017439999999
5.31,1.265488451
5.315,1.290222307
5.32,1.314530881
5.325,1.338053202
5.33,1.360439747
5.335,1.3813526170000001
5.34,1.400466026
5.345,1.41746581
5.35,1.432049259
5.355,1.443925114
5.36,1.452813572
5.365,1.458446281
5.37,1.460566224
5.375,1.458703602
5.38,1.4526503640000001
5.385,1.442890508
5.39,1.429897132
5.395,1.414122111
5.4,1.395996094
5.405,1.375928507
5.41,1.354307548
5.415,1.331500193
5.42,1.307852191
5.425,1.283688066
5.43,1.25931112
5.435,1.235003428
5.44,1.211025838
5.445,1.187617978
5.45,1.164998246
5.455,1.143363819
5.46,1.122890648
5.465,1.103733457
5.47,1.086026001
5.475,1.069881785
5.48,1.055393324
5.485,1.042626373
5.49,1.031519754
5.495,1.021927659
5.5,1.013711125
5.505,1.006738192
5.51,1.000883906
5.515,0.996030314
5.52,0.992066469
5.525,0.988888427
5.53,0.986399246
5.535,0.984508991
5.54,0.983134688
5.545,0.982200212
5.55,0.9816364
5.555,0.981381093
5.56,0.981379137
5.565,0.981582381
5.57,0.981949407
5.575,0.982443617
5.58,0.983034359
5.585,0.9836979770000001
5.59,0.984417821
5.595,0.98518424
5.6,0.985994592
5.605,0.986849455
5.61,0.987733405
5.615,0.988627627
5.62,0.989516794
5.625,0.990389062
5.63,0.991236071
5.635,0.992052946
5.64,0.992838299
5.645,0.993594225
5.65,0.994326302
5.655,0.995043597
5.66,0.995758658
5.665,0.99648752
5.67,0.997249795
5.675,0.998070445
5.68,0.998979632
5.685,1.0000111
5.69,1.001169723
5.695,1.002537135
5.7,1.004343942
5.705,1.006819365
5.71,1.010188093
5.715,1.014670291
5.72,1.020481597
5.725,1.02783312
5.73,1.036931444
5.735,1.047978624
5.74,1.06117219
5.745,1.076705128
5.75,1.094807626
5.755,1.115688512
5.76,1.138570532
5.765,1.16253926
5.77,1.186711473
5.775,1.210235421
5.78,1.232291018
5.785,1.252089429
5.79,1.26887302
5.795,1.281915356
5.8,1.290521203
5.805,1.294026528
5.81,1.291798499
5.815,1.283279204
5.82,1.269213266
5.825,1.250888966
5.83,1.229484105
5.835,1.2060659280000001
5.84,1.181591129
5.845,1.156905848
5.85,1.132745672
5.855,1.109735636
5.86,1.088390219
5.865,1.06911335
5.87,1.052198403
5.875,1.03782696
5.88,1.026063978
5.885,1.016713292
5.89,1.009144092
5.895,1.002343131
5.9,0.994909309
5.905,0.985053675
5.91,0.970599429
5.915,0.948981921
5.92,0.917378391
5.925,0.878302066
5.93,0.842690552
5.935,0.8236739479999999
5.94,0.836078835
5.945,0.896428269
5.95,1.019126433
5.955,1.209154089
5.96,1.456434027
5.965,1.730781447
5.97,1.981887558
5.975,2.14266552
5.98,2.166923287
5.985,2.0468051320000002
5.99,1.811379834
5.995,1.5203370710000002
6.0,1.231091251
6.005,0.986566208
6.01,0.809918409
6.015,0.708762246
6.02,0.6734546880000001
6.025,0.687439118
6.03,0.7338134270000001
6.035,0.79533002
6.04,0.854395813
6.045,0.898288572
6.05,0.928141111
6.055,0.94693116
6.06,0.957738915
6.065,0.963747052
6.07,0.968135036
6.075,0.972406785
6.08,0.9769293530000001
6.085,0.982027908
6.09,0.987957689
6.095,0.994904048
6.1,1.002982457
6.105,1.012238523
6.11,1.022695896
6.115,1.034468121
6.12,1.047655281
6.125,1.062317253
6.13,1.0784737
6.135,1.096104078
6.14,1.115147634
6.145,1.135503403
6.15,1.157030213
6.155,1.179546614
6.16,1.202830686
6.165,1.226620232
6.17,1.250612844
6.175,1.274469575
6.18,1.297989882
6.185,1.320759872
6.19,1.342263666
6.195,1.362041781
6.2,1.379691128
6.205,1.394865014
6.21,1.40727314
6.215,1.416681605
6.22,1.422912899
6.225,1.425845909
6.23,1.425415917
6.235,1.421614602
6.24,1.414490034
6.245,1.404146681
6.25,1.390739277
6.255,1.374306839
6.26,1.3552119550000001
6.265,1.333949623
6.27,1.310984886
6.275,1.28675283
6.28,1.261658934
6.285,1.236079779
6.29,1.210362194
6.295,1.184823055
6.3,1.159749282
6.305,1.135397841
6.31,1.111995743
6.315,1.089740046
6.32,1.068797852
6.325,1.049306308
6.33,1.031372608
6.335,1.015075521
6.34,1.000539966
6.345,0.987717738
6.35,0.976471648
6.355,0.966670406
6.36,0.958188679
6.365,0.950907264
6.37,0.944712913
6.375,0.939498279
6.38,0.9351615090000001
6.385,0.931604048
6.39,0.928732224
6.395,0.926458266
6.4,0.924700302
6.405,0.923382365
6.41,0.922434389
6.415,0.9217922080000001
6.42,0.92139756
6.425,0.921198085
6.43,0.921147322
6.435,0.921204716
6.44,0.9213356109999999
6.445,0.921511253
6.45,0.921708792
6.455,0.921911276
6.46,0.92210766
6.465,0.922292796
6.47,0.922467441
6.475,0.922639255
6.48,0.922830211
6.485,0.923020689
6.49,0.92318501
6.495,0.923304713
6.5,0.923368485
6.505,0.92337216
6.51,0.923318724
6.515,0.923218309
6.52,0.923088197
6.525,0.922952818
6.53,0.922843752
6.535,0.922799726
6.54,0.922866617
6.545,0.923097449
6.55,0.923552398
6.555,0.924298784
6.56,0.9254110799999999
6.565,0.926966529
6.57,0.928989222
6.575,0.931788405
6.58,0.935733587
6.585,0.941139717
6.59,0.948266163
6.595,0.95731993
6.6,0.968455931
6.605,0.981776985
6.61,0.997333817
6.615,1.015125057
6.62,1.035097241
6.625,1.057189602
6.63,1.08124534
6.635,1.106152756
6.64,1.130759086
6.645,1.154025928
6.65,1.17502924
6.655,1.192959341
6.66,1.207120908
6.665,1.216932981
6.67,1.22192896
6.675,1.221756605
6.68,1.216178037
6.685,1.205049473
6.69,1.188869472
6.695,1.168872983
6.7,1.146216721
6.705,1.1219418349999999
6.71,1.096973915
6.715,1.072122992
6.72,1.048083534
6.725,1.025434447
6.73,1.004639077
6.735,0.986045209
6.74,0.969885068
6.745,0.956300098
6.75,0.945590966
6.755,0.936983589
